,Short Name,Event ID,Name,Day,Date Time
0,UFC 246,103,UFC 246: McGregor vs. Cowboy,2020-01-18T00:00:00,2020-01-18T19:00:00
1,UFC Fight Night,104,UFC Fight Night: Blaydes vs. Dos Santos,2020-01-25T00:00:00,2020-01-25T17:00:00
2,UFC 247,105,UFC 247: Jones vs. Reyes,2020-02-08T00:00:00,2020-02-08T18:30:00
3,UFC Fight Night,106,UFC Fight Night: Anderson vs. Blachowicz 2,2020-02-15T00:00:00,2020-02-15T17:00:00
4,UFC Fight Night,107,UFC Fight Night: Felder vs. Hooker,2020-02-22T00:00:00,2020-02-22T16:00:00
5,UFC Fight Night,108,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29T00:00:00,2020-02-29T17:00:00
6,UFC 248,109,UFC 248: Adesanya vs. Romero,2020-03-07T00:00:00,2020-03-07T19:00:00
7,UFC Fight Night,110,UFC Fight Night: Lee vs. Oliveira,2020-03-14T00:00:00,2020-03-14T15:00:00
8,UFC 249,118,UFC 249: Ferguson vs. Gaethje,2020-05-09T00:00:00,2020-05-09T18:00:00
9,UFC Fight Night,127,UFC Fight Night: Smith vs. Teixeira,2020-05-13T00:00:00,2020-05-13T18:00:00
10,UFC Fight Night,120,UFC Fight Night: Overeem vs. Harris,2020-05-16T00:00:00,2020-05-16T18:00:00
11,UFC Fight Night,128,UFC Fight Night: Woodley vs. Burns,2020-05-30T00:00:00,2020-05-30T18:00:00
12,UFC 250,119,UFC 250: Nunes vs. Spencer,2020-06-06T00:00:00,2020-06-06T18:00:00
13,UFC Fight Night,129,UFC Fight Night: Eye vs. Calvillo,2020-06-13T00:00:00,2020-06-13T19:00:00
14,UFC Fight Night,130,UFC Fight Night: Blaydes vs. Volkov,2020-06-20T00:00:00,2020-06-20T17:00:00
15,UFC Fight Night,131,UFC Fight Night: Poirier vs. Hooker,2020-06-27T00:00:00,2020-06-27T18:00:00
16,UFC 251,121,UFC 251: Usman vs. Masvidal,2020-07-11T00:00:00,2020-07-11T18:00:00
17,UFC Fight Night,132,UFC Fight Night: Kattar vs. Ige,2020-07-15T00:00:00,2020-07-15T19:00:00
18,UFC Fight Night,133,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18T00:00:00,2020-07-18T17:00:00
19,UFC Fight Night,134,UFC Fight Night: Whittaker vs. Till,2020-07-25T00:00:00,2020-07-25T17:00:00
20,UFC Fight Night,136,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01T00:00:00,2020-08-01T19:00:00
21,UFC Fight Night,141,UFC Fight Night: Lewis vs. Oleinik,2020-08-08T00:00:00,2020-08-08T18:00:00
22,UFC 252,135,UFC 252: Miocic vs. Cormier 3,2020-08-15T00:00:00,2020-08-15T19:00:00
23,UFC Fight Night,142,UFC Fight Night: Munhoz vs. Edgar,2020-08-22T00:00:00,2020-08-22T18:30:00
24,UFC Fight Night,143,UFC Fight Night: Smith vs. Rakic,2020-08-29T00:00:00,2020-08-29T18:00:00
25,UFC Fight Night,150,UFC Fight Night: Overeem vs. Sakai,2020-09-05T00:00:00,2020-09-05T19:00:00
26,UFC Fight Night,151,UFC Fight Night: Waterson vs. Hill,2020-09-12T00:00:00,2020-09-12T17:00:00
27,UFC Fight Night,146,UFC Fight Night: Covington vs. Woodley,2020-09-19T00:00:00,2020-09-19T17:00:00
28,UFC 253,144,UFC 253: Adesanya vs. Costa,2020-09-26T00:00:00,2020-09-26T19:00:00
29,UFC Fight Night,147,UFC Fight Night: Holm vs. Aldana,2020-10-03T00:00:00,2020-10-03T19:30:00
30,UFC Fight Night,155,UFC Fight Night: Moraes vs. Sandhagen,2020-10-10T00:00:00,2020-10-10T17:00:00
31,UFC Fight Night,154,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17T00:00:00,2020-10-17T16:00:00
32,UFC 254,145,UFC 254: Khabib vs. Gaethje,2020-10-24T00:00:00,2020-10-24T11:00:00
33,UFC Fight Night,159,UFC Fight Night: Hall vs. Silva,2020-10-31T00:00:00,2020-10-31T16:00:00
34,UFC Fight Night,162,UFC Fight Night: Santos vs. Teixeira,2020-11-07T00:00:00,2020-11-07T19:30:00
35,UFC Fight Night,148,UFC Fight Night: Felder vs. Dos Anjos,2020-11-14T00:00:00,2020-11-14T17:00:00
