,Event ID,Name,Short Name,Date Time,Total Fight
0,103,UFC 246: McGregor vs. Cowboy,UFC 246,2020-01-18T19:00:00,11
1,104,UFC Fight Night: Blaydes vs. Dos Santos,UFC Fight Night,2020-01-25T17:00:00,12
2,105,UFC 247: Jones vs. Reyes,UFC 247,2020-02-08T18:30:00,12
3,106,UFC Fight Night: Anderson vs. Blachowicz 2,UFC Fight Night,2020-02-15T17:00:00,13
4,107,UFC Fight Night: Felder vs. Hooker,UFC Fight Night,2020-02-22T16:00:00,12
5,108,UFC Fight Night: Benavidez vs. Figueiredo,UFC Fight Night,2020-02-29T17:00:00,12
6,109,UFC 248: Adesanya vs. Romero,UFC 248,2020-03-07T19:00:00,11
7,110,UFC Fight Night: Lee vs. Oliveira,UFC Fight Night,2020-03-14T15:00:00,12
8,118,UFC 249: Ferguson vs. Gaethje,UFC 249,2020-05-09T18:00:00,11
9,127,UFC Fight Night: Smith vs. Teixeira,UFC Fight Night,2020-05-13T18:00:00,10
10,120,UFC Fight Night: Overeem vs. Harris,UFC Fight Night,2020-05-16T18:00:00,11
11,128,UFC Fight Night: Woodley vs. Burns,UFC Fight Night,2020-05-30T18:00:00,11
12,119,UFC 250: Nunes vs. Spencer,UFC 250,2020-06-06T18:00:00,12
13,129,UFC Fight Night: Eye vs. Calvillo,UFC Fight Night,2020-06-13T19:00:00,10
14,130,UFC Fight Night: Blaydes vs. Volkov,UFC Fight Night,2020-06-20T17:00:00,12
15,131,UFC Fight Night: Poirier vs. Hooker,UFC Fight Night,2020-06-27T18:00:00,10
16,121,UFC 251: Usman vs. Masvidal,UFC 251,2020-07-11T18:00:00,13
17,132,UFC Fight Night: Kattar vs. Ige,UFC Fight Night,2020-07-15T19:00:00,11
18,133,UFC Fight Night: Figueiredo vs. Benavidez 2,UFC Fight Night,2020-07-18T17:00:00,12
19,134,UFC Fight Night: Whittaker vs. Till,UFC Fight Night,2020-07-25T17:00:00,15
20,136,UFC Fight Night: Brunson vs. Shahbazyan,UFC Fight Night,2020-08-01T19:00:00,8
21,141,UFC Fight Night: Lewis vs. Oleinik,UFC Fight Night,2020-08-08T18:00:00,12
22,135,UFC 252: Miocic vs. Cormier 3,UFC 252,2020-08-15T19:00:00,11
23,142,UFC Fight Night: Munhoz vs. Edgar,UFC Fight Night,2020-08-22T18:30:00,9
24,143,UFC Fight Night: Smith vs. Rakic,UFC Fight Night,2020-08-29T18:00:00,10
25,150,UFC Fight Night: Overeem vs. Sakai,UFC Fight Night,2020-09-05T19:00:00,7
26,151,UFC Fight Night: Waterson vs. Hill,UFC Fight Night,2020-09-12T17:00:00,12
27,146,UFC Fight Night: Covington vs. Woodley,UFC Fight Night,2020-09-19T17:00:00,14
28,144,UFC 253: Adesanya vs. Costa,UFC 253,2020-09-26T19:00:00,11
29,147,UFC Fight Night: Holm vs. Aldana,UFC Fight Night,2020-10-03T19:30:00,11
30,155,UFC Fight Night: Moraes vs. Sandhagen,UFC Fight Night,2020-10-10T17:00:00,13
31,154,UFC Fight Night: Ortega vs. The Korean Zombie,UFC Fight Night,2020-10-17T16:00:00,11
32,145,UFC 254: Khabib vs. Gaethje,UFC 254,2020-10-24T11:00:00,12
33,159,UFC Fight Night: Hall vs. Silva,UFC Fight Night,2020-10-31T16:00:00,11
34,162,UFC Fight Night: Santos vs. Teixeira,UFC Fight Night,2020-11-07T19:30:00,10
35,148,UFC Fight Night: Felder vs. Dos Anjos,UFC Fight Night,2020-11-14T17:00:00,9
